Date,Open,High,Low,Close,Adj Close,Volume
2007-09-17,6898.000000,6977.200195,6843.000000,6897.100098,6897.020020,0
2007-09-18,6921.149902,7078.950195,6883.600098,7059.649902,7059.567871,0
2007-09-19,7111.000000,7419.350098,7111.000000,7401.850098,7401.764160,0
2007-09-20,7404.950195,7462.899902,7343.600098,7390.149902,7390.063965,0
2007-09-21,7378.299805,7506.350098,7367.149902,7464.500000,7464.413086,0
2007-09-24,7514.399902,7661.049805,7514.399902,7650.899902,7650.811035,0
2007-09-25,7658.500000,7694.250000,7490.200195,7629.149902,7629.061035,0
2007-09-26,7647.100098,7829.850098,7591.799805,7755.899902,7755.809570,0
2007-09-27,7804.549805,7866.500000,7747.100098,7833.649902,7833.559082,0
2007-09-28,7838.250000,8082.850098,7836.049805,8042.200195,8042.106934,0
2007-10-01,8008.549805,8085.149902,7913.299805,7987.500000,7987.407227,0
2007-10-03,8029.799805,8235.799805,7820.250000,8097.899902,8097.805664,0
2007-10-04,8083.299805,8086.700195,7828.649902,8035.899902,8035.806641,0
2007-10-05,8038.100098,8066.549805,7789.700195,7845.250000,7845.158691,0
2007-10-08,7853.149902,7935.450195,7516.450195,7626.399902,7626.311035,0
2007-10-09,7580.899902,7916.450195,7535.049805,7895.850098,7895.758301,0
2007-10-10,7960.649902,8081.049805,7907.350098,8030.649902,8030.556641,0
2007-10-11,8054.299805,8177.750000,8005.500000,8158.799805,8158.705078,0
2007-10-12,8093.649902,8132.100098,7889.799805,7934.000000,7933.907715,0
2007-10-15,7962.549805,8306.349609,7962.549805,8286.299805,8286.203125,0
2007-10-16,8361.400391,8491.650391,8240.299805,8452.200195,8452.101563,0
2007-10-17,8071.549805,8218.099609,7641.500000,8099.899902,8099.805664,0
2007-10-18,8055.149902,8192.450195,7519.700195,7608.750000,7608.661621,0
2007-10-19,7637.399902,7718.899902,7279.299805,7423.799805,7423.713379,0
2007-10-22,7374.350098,7621.649902,7289.200195,7568.000000,7567.912109,0
2007-10-23,7621.049805,8118.750000,7621.049805,8101.100098,8101.005859,0
2007-10-24,8167.950195,8276.650391,8058.549805,8228.650391,8228.554688,0
2007-10-25,8228.200195,8528.250000,8185.549805,8428.650391,8428.552734,0
2007-10-26,8426.400391,8804.900391,8257.049805,8749.900391,8749.798828,0
2007-10-29,8918.049805,9122.349609,8865.650391,9000.750000,9000.645508,0
2007-10-30,9024.549805,9237.799805,8832.500000,8934.150391,8934.046875,0
2007-10-31,8906.299805,9116.799805,8839.400391,9013.150391,9013.045898,0
2007-11-01,9220.400391,9358.000000,9032.700195,9198.599609,9198.493164,0
2007-11-02,8953.400391,9610.700195,8898.200195,9560.700195,9560.588867,0
2007-11-05,9549.799805,9692.500000,9346.250000,9397.549805,9397.440430,0
2007-11-06,9383.549805,9550.650391,9129.849609,9216.299805,9216.192383,0
2007-11-07,9215.400391,9388.049805,9049.650391,9090.200195,9090.094727,0
2007-11-08,9090.799805,9090.799805,8816.950195,8876.250000,8876.146484,0
2007-11-12,8596.150391,8819.900391,8429.349609,8758.200195,8758.098633,0
2007-11-13,8761.349609,9149.000000,8642.849609,9060.000000,9059.894531,0
2007-11-14,9230.650391,9651.849609,9230.650391,9613.049805,9612.938477,0
2007-11-15,9560.200195,9601.450195,9422.349609,9454.700195,9454.589844,0
2007-11-16,9476.849609,9538.650391,9272.349609,9474.150391,9474.040039,0
2007-11-19,9541.099609,9595.450195,9367.849609,9396.250000,9396.140625,0
2007-11-20,9356.400391,9574.849609,9210.099609,9277.849609,9277.742188,0
2007-11-21,9272.200195,9291.650391,8766.349609,8829.799805,8829.697266,0
2007-11-22,8835.250000,9084.200195,8650.000000,8998.799805,8998.695313,0
2007-11-23,9051.750000,9127.599609,8821.150391,8977.900391,8977.795898,0
2007-11-26,9136.049805,9255.049805,9093.400391,9122.450195,9122.343750,0
2007-11-27,9087.599609,9098.950195,8977.950195,9070.750000,9070.644531,0
2007-11-28,9043.599609,9216.150391,8938.099609,8970.849609,8970.745117,0
2007-11-29,9124.799805,9273.250000,9063.250000,9124.400391,9124.293945,0
2007-11-30,9230.799805,9437.950195,9185.000000,9375.750000,9375.640625,0
2007-12-03,9391.200195,9466.200195,9384.349609,9397.549805,9397.440430,0
2007-12-04,9404.150391,9452.700195,9341.049805,9367.099609,9366.991211,0
2007-12-05,9373.450195,9605.250000,9373.450195,9581.299805,9581.188477,0
2007-12-06,9644.799805,9759.700195,9559.750000,9620.150391,9620.039063,0
2007-12-07,9677.849609,9804.549805,9605.450195,9796.099609,9795.985352,0
2007-12-10,9800.200195,9889.299805,9723.599609,9864.599609,9864.485352,0
